Unique ID,Labels Set
1,"defamation,fake,offensive"
2,non-hostile
3,hate
4,fake
5,defamation
6,non-hostile
7,non-hostile
8,offensive
9,fake
10,"defamation,fake,hate"
11,fake
12,hate
13,non-hostile
14,"defamation,hate,offensive"
15,"hate,offensive"
16,fake
17,non-hostile
18,non-hostile
19,offensive
20,offensive
21,non-hostile
22,hate
23,non-hostile
24,"fake,hate"
25,non-hostile
26,"fake,offensive"
27,hate
28,hate
29,fake
30,fake
31,non-hostile
32,non-hostile
33,fake
34,fake
35,non-hostile
36,non-hostile
37,non-hostile
38,non-hostile
39,hate
40,non-hostile
41,"fake,hate,offensive"
42,non-hostile
43,non-hostile
44,non-hostile
45,fake
46,defamation
47,non-hostile
48,"defamation,hate,offensive"
49,non-hostile
50,non-hostile
51,defamation
52,fake
53,hate
54,"defamation,hate"
55,"defamation,offensive"
56,non-hostile
57,non-hostile
58,non-hostile
59,"defamation,fake,hate,offensive"
60,non-hostile
61,non-hostile
62,non-hostile
63,non-hostile
64,non-hostile
65,defamation
66,hate
67,"defamation,hate,offensive"
68,non-hostile
69,fake
70,non-hostile
71,defamation
72,non-hostile
73,fake
74,offensive
75,non-hostile
76,hate
77,"hate,offensive"
78,non-hostile
79,non-hostile
80,non-hostile
81,non-hostile
82,non-hostile
83,non-hostile
84,non-hostile
85,non-hostile
86,non-hostile
87,non-hostile
88,defamation
89,"hate,offensive"
90,defamation
91,fake
92,"fake,hate"
93,non-hostile
94,fake
95,non-hostile
96,non-hostile
97,hate
98,non-hostile
99,non-hostile
100,non-hostile
101,non-hostile
102,defamation
103,fake
104,defamation
105,fake
106,non-hostile
107,non-hostile
108,non-hostile
109,non-hostile
110,fake
111,defamation
112,defamation
113,"hate,offensive"
114,hate
115,non-hostile
116,non-hostile
117,fake
118,non-hostile
119,non-hostile
120,non-hostile
121,fake
122,fake
123,"hate,offensive"
124,non-hostile
125,fake
126,non-hostile
127,fake
128,"defamation,hate"
129,non-hostile
130,fake
131,non-hostile
132,non-hostile
133,non-hostile
134,non-hostile
135,offensive
136,fake
137,non-hostile
138,non-hostile
139,hate
140,non-hostile
141,fake
142,fake
143,non-hostile
144,"hate,offensive"
145,non-hostile
146,non-hostile
147,non-hostile
148,offensive
149,non-hostile
150,fake
151,hate
152,fake
153,non-hostile
154,non-hostile
155,non-hostile
156,"defamation,hate"
157,fake
158,non-hostile
159,fake
160,non-hostile
161,non-hostile
162,non-hostile
163,"defamation,fake"
164,non-hostile
165,"defamation,hate,offensive"
166,hate
167,non-hostile
168,defamation
169,fake
170,hate
171,non-hostile
172,offensive
173,offensive
174,offensive
175,fake
176,fake
177,fake
178,non-hostile
179,non-hostile
180,fake
181,defamation
182,"hate,offensive"
183,non-hostile
184,non-hostile
185,fake
186,hate
187,offensive
188,fake
189,non-hostile
190,non-hostile
191,non-hostile
192,hate
193,offensive
194,"defamation,hate"
195,non-hostile
196,offensive
197,fake
198,non-hostile
199,non-hostile
200,fake
201,non-hostile
